,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, December 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
"Birmingham, Northfield","Birmingham, Northfield",England,"2,590.54945147031",585.54945147031,"2,585",,385,18,,5.5,20,,580,,85,17.2,,535,,115,27.4,,"1,879",707,
"Birmingham, Perry Barr","Birmingham, Perry Barr",England,"3,482.08465135067",642.08465135067,"3,475",,135,4,,7.1,6,,635,,-5,-0.8,,790,,95,13.7,,"2,717",758,
"Birmingham, Selly Oak","Birmingham, Selly Oak",England,"2,129.44699537136",524.44699537136,"2,125",,205,11,,4.4,64,,520,,70,15.6,,425,,40,10.4,,"1,407",715,
"Birmingham, Yardley","Birmingham, Yardley",England,"2,800.70582251031",615.70582251031,"2,795",,265,10,,5.7,17,,610,,55,9.9,,620,,105,20.4,,"1,935",856,
Bishop Auckland,Bishop Auckland,England,"1,468.62245233100",378.62245233100,"1,465",,100,7,,3.6,115,,375,,50,15.4,,370,,45,13.8,,980,487,
Blackburn,Blackburn,England,"1,904.29646702246",464.29646702246,"1,900",,-15,-1,,4.3,70,,460,,0,0.0,,365,,0,0.0,,"1,005",891,
Blackley and Broughton,Blackley and Broughton,England,"2,680.38506943169",505.38506943169,"2,675",,65,2,,5.4,26,,500,,-25,-4.8,,540,,60,12.5,,"1,673","1,007",
Blackpool North and Cleveleys,Blackpool North and Cleveleys,England,"1,549.14944115103",294.14944115103,"1,545",,40,3,,4.1,81,,290,,-15,-4.9,,405,,25,6.6,,714,830,
Blackpool South,Blackpool South,England,"2,201.03158392528",396.03158392528,"2,195",,125,6,,6.0,14,,390,,-5,-1.3,,560,,85,17.9,,"1,004","1,187",
Blaenau Gwent,Blaenau Gwent,Wales,"1,514.83705550488",419.83705550488,"1,510",,-120,-7,,4.8,43,,415,,10,2.5,,330,,-10,-2.9,,"1,056",457,
Blaydon,Blaydon,England,"1,102.57876060912",277.57876060912,"1,100",,155,16,,2.6,241,,275,,60,27.9,,295,,70,31.1,,692,408,
Blyth Valley,Blyth Valley,England,"1,644.12586503194",389.12586503194,"1,640",,115,8,,4.1,86,,385,,-35,-8.3,,425,,130,44.1,,"1,254",388,
Bognor Regis and Littlehampton,Bognor Regis and Littlehampton,England,786.65557895016,151.65557895016,785,,70,10,,1.7,409,,150,,25,20.0,,225,,15,7.1,,528,256,
Bolsover,Bolsover,England,841.84146334957,231.84146334957,840,,105,14,,1.8,373,,230,,30,15.0,,165,,5,3.1,,584,252,
Bolton North East,Bolton North East,England,"2,114.80462291331",439.80462291331,"2,110",,75,4,,4.8,46,,435,,-80,-15.5,,460,,70,17.9,,"1,118",987,
