,,,,,,,,,,,,,,,,,,,,,,,,,
column reference number,52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, March 2017",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
Kettering,Kettering,England,"1,042.12397137527",232.12397137527,"1,040",,-80,-7,,2.1,359,,230,,-40,-14.8,,265,,-5,-1.9,,660,380,
Kilmarnock and Loudoun,Kilmarnock and Loudoun,Scotland,"2,104.50309503441",474.50309503441,"2,100",,120,6,,4.5,81,,470,,50,11.9,,505,,5,1.0,,"1,482",617,
Kingston and Surbiton,Kingston and Surbiton,England,"1,016.48150987131",161.48150987131,"1,015",,65,7,,1.5,488,,160,,5,3.2,,270,,35,14.9,,766,250,
Kingston upon Hull East,Kingston upon Hull East,England,"2,074.63555757599",534.63555757599,"2,070",,-120,-5,,4.6,70,,530,,-5,-0.9,,465,,-5,-1.1,,"1,427",644,
Kingston upon Hull North,Kingston upon Hull North,England,"2,320.05497094345",590.05497094345,"2,315",,-140,-6,,5.1,50,,585,,-5,-0.8,,475,,35,8.0,,"1,668",649,
Kingston upon Hull West and Hessle,Kingston upon Hull West and Hessle,England,"2,320.26979232051",495.26979232051,"2,315",,-70,-3,,5.3,38,,490,,-10,-2.0,,520,,-35,-6.3,,"1,704",611,
Kingswood,Kingswood,England,651.36036413981,146.36036413981,650,,20,3,,1.4,515,,145,,-10,-6.5,,160,,20,14.3,,474,174,
Kirkcaldy and Cowdenbeath,Kirkcaldy and Cowdenbeath,Scotland,"2,134.57657120593",489.57657120593,"2,130",,110,5,,4.6,77,,485,,55,12.8,,465,,35,8.1,,"1,499",635,
Knowsley,Knowsley,England,"2,580.42765361217",635.42765361217,"2,575",,55,2,,5.4,31,,630,,-40,-6.0,,555,,50,9.9,,"1,011","1,565",
Lagan Valley,Lagan Valley,Northern Ireland,"1,202.34679596485",262.34679596485,"1,200",,-295,-20,,2.3,319,,260,,-135,-34.2,,320,,-5,-1.5,,"1,202",..,
Lanark and Hamilton East,Lanark and Hamilton East,Scotland,"1,548.27763304086",393.27763304086,"1,545",,20,1,,3.3,186,,390,,-5,-1.3,,315,,10,3.3,,976,568,
Lancaster and Fleetwood,Lancaster and Fleetwood,England,"1,167.89675202950",227.89675202950,"1,165",,150,15,,2.9,229,,225,,-30,-11.8,,285,,75,35.7,,379,787,
Leeds Central,Leeds Central,England,"3,855.27161550455",755.27161550455,"3,850",,-105,-3,,5.3,37,,750,,-60,-7.4,,765,,50,7.0,,"2,854",997,
Leeds East,Leeds East,England,"2,270.06715942330",515.06715942330,"2,265",,5,0,,5.1,48,,510,,-25,-4.7,,460,,40,9.5,,"1,658",608,
Leeds North East,Leeds North East,England,"1,322.76817248134",252.76817248134,"1,320",,145,12,,2.8,251,,250,,20,8.7,,340,,65,23.6,,954,367,
Leeds North West,Leeds North West,England,726.72746130173,151.72746130173,725,,30,4,,1.7,430,,150,,-5,-3.2,,145,,-10,-6.5,,499,225,
Leeds West,Leeds West,England,"2,134.29457167704",434.29457167704,"2,130",,65,3,,4.3,94,,430,,-30,-6.5,,425,,15,3.7,,"1,513",618,
Leicester East,Leicester East,England,"1,047.01167489591",227.01167489591,"1,045",,-255,-20,,2.0,374,,225,,-20,-8.2,,250,,-70,-21.9,,680,367,
Leicester South,Leicester South,England,"1,507.76764089270",322.76764089270,"1,505",,-245,-14,,2.8,252,,320,,-25,-7.2,,360,,-55,-13.3,,"1,000",501,
Leicester West,Leicester West,England,"1,487.88259994380",312.88259994380,"1,485",,-295,-17,,2.9,231,,310,,-65,-17.3,,305,,-10,-3.2,,"1,010",474,
Leigh,Leigh,England,"1,853.59729065797",408.59729065797,"1,850",,195,12,,3.6,141,,405,,15,3.8,,420,,95,29.2,,851,"1,000",
Lewes,Lewes,England,651.58590904613,141.58590904613,650,,70,12,,1.6,464,,140,,-20,-12.5,,175,,50,40.0,,407,247,
Lewisham East,Lewisham East,England,"1,808.11496980844",278.11496980844,"1,805",,-15,-1,,3.1,204,,275,,-50,-15.4,,550,,75,15.8,,"1,337",464,
Lewisham West and Penge,Lewisham West and Penge,England,"1,878.00543447349",293.00543447349,"1,875",,45,2,,3.0,219,,290,,-10,-3.3,,575,,75,15.0,,"1,409",465,
"Lewisham, Deptford","Lewisham, Deptford",England,"2,218.11505531307",318.11505531307,"2,215",,-30,-1,,3.1,203,,315,,-15,-4.5,,665,,60,9.9,,"1,582",631,
Leyton and Wanstead,Leyton and Wanstead,England,"1,512.55478089343",262.55478089343,"1,510",,40,3,,2.6,288,,260,,20,8.3,,415,,50,13.7,,"1,101",412,
Lichfield,Lichfield,England,440.98424811712,115.98424811712,440,,40,10,,1.0,589,,115,,0,0.0,,125,,10,8.7,,259,182,
Lincoln,Lincoln,England,"1,713.02372174827",443.02372174827,"1,710",,15,1,,3.0,216,,440,,30,7.3,,375,,50,15.4,,"1,172",540,
Linlithgow and East Falkirk,Linlithgow and East Falkirk,Scotland,"1,632.76756034631",407.76756034631,"1,630",,90,6,,2.8,253,,405,,-20,-4.7,,360,,25,7.5,,977,657,
"Liverpool, Riverside","Liverpool, Riverside",England,"2,674.45088464111",484.45088464111,"2,670",,-65,-2,,4.5,85,,480,,-60,-11.1,,610,,75,14.0,,"1,270","1,400",
"Liverpool, Walton","Liverpool, Walton",England,"2,791.65113884741",606.65113884741,"2,785",,40,1,,6.7,14,,600,,-75,-11.1,,580,,65,12.6,,"1,035","1,750",
"Liverpool, Wavertree","Liverpool, Wavertree",England,"2,370.33462050889",485.33462050889,"2,365",,-5,0,,5.3,35,,480,,-50,-9.4,,485,,45,10.2,,"1,303","1,063",
"Liverpool, West Derby","Liverpool, West Derby",England,"2,180.10981030484",475.10981030484,"2,175",,-50,-2,,5.1,46,,470,,-80,-14.5,,455,,15,3.4,,913,"1,266",
Livingston,Livingston,Scotland,"1,372.42797427754",372.42797427754,"1,370",,60,5,,2.4,304,,370,,50,15.6,,285,,30,11.8,,801,565,
Llanelli,Llanelli,Wales,"1,133.10693859216",303.10693859216,"1,130",,20,2,,3.1,205,,300,,15,5.3,,265,,20,8.2,,761,369,
Loughborough,Loughborough,England,646.28426792123,146.28426792123,645,,-45,-7,,1.3,527,,145,,5,3.6,,180,,-15,-7.7,,397,250,
Louth and Horncastle,Louth and Horncastle,England,997.52334379417,247.52334379417,995,,125,14,,2.5,292,,245,,0,0.0,,255,,55,27.5,,651,344,
Ludlow,Ludlow,England,501.30109082124,111.30109082124,500,,60,14,,1.3,525,,110,,5,4.8,,160,,35,28.0,,309,194,
Luton North,Luton North,England,"1,072.23125409830",212.23125409830,"1,070",,-90,-8,,2.2,343,,210,,-10,-4.5,,300,,5,1.7,,798,275,
Luton South,Luton South,England,"1,682.85771585179",262.85771585179,"1,680",,55,3,,2.9,238,,260,,-30,-10.3,,415,,25,6.4,,"1,309",373,
Macclesfield,Macclesfield,England,736.62799902824,146.62799902824,735,,15,2,,1.6,451,,145,,0,0.0,,220,,15,7.3,,357,380,
Maidenhead,Maidenhead,England,541.03323258815,76.03323258815,540,,125,30,,1.0,583,,75,,0,0.0,,175,,65,59.1,,376,164,
Maidstone and The Weald,Maidstone and The Weald,England,866.60291793378,186.60291793378,865,,60,7,,1.6,459,,185,,-5,-2.6,,205,,25,13.9,,606,258,
Makerfield,Makerfield,England,"1,357.80911479232",332.80911479232,"1,355",,-50,-4,,2.8,245,,330,,-45,-12.0,,280,,10,3.7,,636,716,
Maldon,Maldon,England,531.20889731154,116.20889731154,530,,-5,-1,,1.2,541,,115,,15,15.0,,155,,0,0.0,,350,182,
Manchester Central,Manchester Central,England,"3,024.29570059364",574.29570059364,"3,020",,-85,-3,,4.3,93,,570,,-50,-8.1,,625,,40,6.8,,"1,725","1,298",
"Manchester, Gorton","Manchester, Gorton",England,"2,369.64597232050",464.64597232050,"2,365",,-125,-5,,4.6,68,,460,,-45,-8.9,,510,,30,6.3,,"1,376",987,
"Manchester, Withington","Manchester, Withington",England,"1,182.18341510886",247.18341510886,"1,180",,-185,-14,,2.2,352,,245,,-45,-15.5,,250,,-15,-5.7,,571,608,
Mansfield,Mansfield,England,"1,392.71749732921",357.71749732921,"1,390",,-45,-3,,2.7,259,,355,,-30,-7.8,,310,,35,12.7,,925,463,
Meon Valley,Meon Valley,England,410.90481938721,85.90481938721,410,,-5,-1,,0.9,604,,85,,-5,-5.6,,115,,-5,-4.2,,272,137,
Meriden,Meriden,England,"1,733.40919499438",458.40919499438,"1,730",,145,9,,3.4,164,,455,,0,0.0,,350,,60,20.7,,"1,089",639,
Merthyr Tydfil and Rhymney,Merthyr Tydfil and Rhymney,Wales,"1,589.64408956384",409.64408956384,"1,585",,-55,-3,,4.6,69,,405,,5,1.3,,350,,0,0.0,,"1,115",472,
Mid Bedfordshire,Mid Bedfordshire,England,475.84490922850,110.84490922850,475,,25,6,,0.8,613,,110,,10,10.0,,150,,30,25.0,,330,140,
Mid Derbyshire,Mid Derbyshire,England,365.87852647288,90.87852647288,365,,40,12,,0.9,608,,90,,15,20.0,,100,,15,17.6,,218,147,
Mid Dorset and North Poole,Mid Dorset and North Poole,England,426.08191989245,91.08191989245,425,,25,6,,1.1,569,,90,,-15,-14.3,,125,,25,25.0,,283,139,
Mid Norfolk,Mid Norfolk,England,671.39912167807,161.39912167807,670,,45,7,,1.4,509,,160,,0,0.0,,185,,40,27.6,,444,224,
Mid Sussex,Mid Sussex,England,350.62161386478,70.62161386478,350,,-5,-1,,0.6,645,,70,,5,7.7,,100,,0,0.0,,244,107,
Mid Ulster,Mid Ulster,Northern Ireland,"1,042.26498299186",252.26498299186,"1,040",,-285,-22,,2.3,335,,250,,-85,-25.4,,250,,-55,-18.0,,"1,041",..,
Mid Worcestershire,Mid Worcestershire,England,591.24984733343,126.24984733343,590,,-15,-2,,1.2,533,,125,,-20,-13.8,,175,,25,16.7,,388,203,
Middlesbrough,Middlesbrough,England,"3,498.30897910965",793.30897910965,"3,490",,125,4,,8.3,4,,785,,50,6.8,,755,,45,6.3,,"2,557",935,
Middlesbrough South and East Cleveland,Middlesbrough South and East Cleveland,England,"1,784.25022078403",454.25022078404,"1,780",,-95,-5,,4.3,97,,450,,35,8.4,,430,,-35,-7.5,,"1,219",557,
Midlothian,Midlothian,Scotland,"1,032.38078345304",257.38078345304,"1,030",,65,7,,2.4,314,,255,,10,4.1,,240,,55,29.7,,594,433,
Milton Keynes North,Milton Keynes North,England,"1,407.04129979322",227.04129979322,"1,405",,55,4,,2.0,365,,225,,-20,-8.2,,345,,35,11.3,,"1,064",340,
Milton Keynes South,Milton Keynes South,England,"1,371.99226572880",216.99226572880,"1,370",,0,0,,2.0,376,,215,,-10,-4.4,,335,,15,4.7,,"1,051",316,
Mitcham and Morden,Mitcham and Morden,England,"1,788.14058868655",298.14058868655,"1,785",,265,17,,3.1,199,,295,,50,20.4,,470,,100,27.0,,982,800,
Mole Valley,Mole Valley,England,335.73098036444,45.73098036444,335,,40,14,,0.7,634,,45,,5,12.5,,125,,15,13.6,,264,72,
Monmouth,Monmouth,Wales,611.56871322388,166.56871322388,610,,-55,-8,,1.6,468,,165,,-10,-5.7,,180,,-20,-10.0,,390,218,
Montgomeryshire,Montgomeryshire,Wales,411.35901099547,111.35901099547,410,,-80,-16,,1.4,516,,110,,-25,-18.5,,105,,-20,-16.0,,245,167,
Moray,Moray,Scotland,"1,277.67171183375",317.67171183375,"1,275",,155,14,,2.7,270,,315,,40,14.5,,350,,85,32.1,,849,426,
Morecambe and Lunesdale,Morecambe and Lunesdale,England,"1,789.34783956866",384.34783956866,"1,785",,445,33,,4.3,91,,380,,50,15.2,,485,,165,51.6,,293,"1,490",
Morley and Outwood,Morley and Outwood,England,841.60601037945,181.60601037945,840,,25,3,,1.6,457,,180,,10,5.9,,215,,-15,-6.5,,577,268,
Motherwell and Wishaw,Motherwell and Wishaw,Scotland,"1,999.32151602967",464.32151602967,"1,995",,10,1,,4.3,92,,460,,-30,-6.1,,440,,55,14.3,,"1,193",801,
Na h-Eileanan An Iar,Na h-Eileanan An Iar,Scotland,342.62052573281,47.62052573281,340,,-20,-6,,2.6,278,,45,,-10,-18.2,,150,,0,0.0,,248,94,
Neath,Neath,Wales,"1,098.32893493198",293.32893493198,"1,095",,-60,-5,,3.3,179,,290,,-50,-14.7,,255,,20,8.5,,658,433,
New Forest East,New Forest East,England,360.79790399073,80.79790399073,360,,-60,-14,,0.8,621,,80,,-20,-20.0,,85,,-30,-26.1,,213,146,
New Forest West,New Forest West,England,345.95939883372,75.95939883372,345,,20,6,,1.0,592,,75,,5,7.1,,115,,10,9.5,,225,122,
Newark,Newark,England,736.50886475025,171.50886475025,735,,5,1,,1.5,480,,170,,-5,-2.9,,210,,20,10.5,,521,216,
Newbury,Newbury,England,440.77309745801,65.77309745800,440,,55,14,,0.8,627,,65,,-10,-13.3,,150,,50,50.0,,318,120,
Newcastle upon Tyne Central,Newcastle upon Tyne Central,England,"2,555.69444760970",515.69444760970,"2,550",,20,1,,5.7,28,,510,,-10,-1.9,,590,,30,5.4,,"1,494","1,057",
Newcastle upon Tyne East,Newcastle upon Tyne East,England,"2,009.07151105627",404.07151105627,"2,005",,205,11,,4.1,107,,400,,0,0.0,,500,,125,33.3,,"1,120",884,
Newcastle upon Tyne North,Newcastle upon Tyne North,England,"1,553.54914698655",328.54914698655,"1,550",,265,21,,3.5,144,,325,,10,3.2,,400,,100,33.3,,563,988,
Newcastle-under-Lyme,Newcastle-under-Lyme,England,826.90183279918,196.90183279918,825,,45,6,,1.9,396,,195,,20,11.4,,195,,20,11.4,,486,341,
Newport East,Newport East,Wales,"1,433.77259281479",343.77259281479,"1,430",,-115,-7,,3.8,129,,340,,-10,-2.9,,285,,-45,-13.6,,"1,009",424,
Newport West,Newport West,Wales,"1,618.95047301540",413.95047301540,"1,615",,-145,-8,,4.0,117,,410,,-25,-5.7,,335,,0,0.0,,"1,102",511,
Newry & Armagh,Newry & Armagh,Northern Ireland,"1,552.95549109272",322.95549109272,"1,550",,-455,-23,,3.0,225,,320,,-140,-30.4,,450,,-45,-9.1,,"1,551",..,
Newton Abbot,Newton Abbot,England,596.44598424581,126.44598424581,595,,40,7,,1.4,497,,125,,0,0.0,,185,,25,15.6,,389,207,
"Normanton, Pontefract and Castleford","Normanton, Pontefract and Castleford",England,"1,562.88187553780",372.88187553780,"1,560",,60,4,,2.9,232,,370,,-20,-5.1,,350,,-10,-2.8,,"1,088",475,
North Antrim,North Antrim,Northern Ireland,"1,748.39623193209",403.39623193209,"1,745",,-275,-14,,3.4,167,,400,,-105,-20.8,,410,,-40,-8.9,,"1,743",..,
North Ayrshire and Arran,North Ayrshire and Arran,Scotland,"2,225.21031531678",490.21031531678,"2,220",,-185,-8,,5.2,40,,485,,-65,-11.8,,540,,5,0.9,,"1,442",781,
North Cornwall,North Cornwall,England,736.80358145171,181.80358145171,735,,55,8,,1.8,413,,180,,5,2.9,,195,,40,25.8,,426,308,
North Devon,North Devon,England,641.44368677673,156.44368677673,640,,-15,-2,,1.4,498,,155,,-15,-8.8,,180,,0,0.0,,399,242,
North Dorset,North Dorset,England,365.78231017904,75.78231017904,365,,25,7,,0.8,624,,75,,0,0.0,,125,,20,19.0,,262,102,
North Down,North Down,Northern Ireland,"1,232.92748031793",272.92748031793,"1,230",,-145,-11,,2.9,227,,270,,-50,-15.6,,350,,0,0.0,,"1,231",..,
North Durham,North Durham,England,"1,488.50495153788",358.50495153789,"1,485",,80,6,,3.5,151,,355,,-15,-4.1,,355,,35,10.9,,984,500,
North East Bedfordshire,North East Bedfordshire,England,701.20672563326,131.20672563326,700,,-5,-1,,1.2,543,,130,,-20,-13.3,,210,,30,16.7,,514,181,
North East Cambridgeshire,North East Cambridgeshire,England,741.30832667505,211.30832667505,740,,-115,-13,,1.3,524,,210,,-25,-10.6,,165,,-25,-13.2,,460,280,
North East Derbyshire,North East Derbyshire,England,776.79896121484,196.79896121484,775,,35,5,,1.8,415,,195,,0,0.0,,210,,30,16.7,,507,270,
North East Fife,North East Fife,Scotland,737.03451080594,177.03451080594,735,,-25,-3,,2.0,368,,175,,10,6.1,,230,,15,7.0,,481,254,
North East Hampshire,North East Hampshire,England,315.62707612896,35.62707612896,315,,55,21,,0.6,644,,35,,5,16.7,,100,,0,0.0,,233,84,
North East Hertfordshire,North East Hertfordshire,England,651.31982393485,121.31982393485,650,,30,5,,1.3,522,,120,,10,9.1,,200,,10,5.3,,486,159,
North East Somerset,North East Somerset,England,716.60280874859,136.60280874859,715,,240,51,,1.6,460,,135,,15,12.5,,190,,75,65.2,,124,590,
North Herefordshire,North Herefordshire,England,516.27944265408,101.27944265408,515,,40,8,,1.3,530,,100,,-15,-13.0,,165,,25,17.9,,323,192,
North Norfolk,North Norfolk,England,521.49193427606,141.49193427606,520,,0,0,,1.5,482,,140,,0,0.0,,150,,-5,-3.2,,299,220,
North Shropshire,North Shropshire,England,716.40801345530,181.40801345530,715,,-90,-11,,1.4,507,,180,,-65,-26.5,,200,,15,8.1,,406,310,
North Somerset,North Somerset,England,365.74487389173,80.74487389173,365,,90,33,,0.7,630,,80,,10,14.3,,100,,20,25.0,,226,137,
North Swindon,North Swindon,England,946.58708676241,216.58708676241,945,,30,3,,1.6,462,,215,,0,0.0,,235,,15,6.8,,336,605,
North Thanet,North Thanet,England,"1,593.71807565856",388.71807565856,"1,590",,-5,0,,3.7,135,,385,,25,6.9,,425,,35,9.0,,"1,096",494,
North Tyneside,North Tyneside,England,"2,088.94447821480",393.94447821480,"2,085",,30,1,,3.9,118,,390,,-50,-11.4,,570,,30,5.6,,"1,473",612,
North Warwickshire,North Warwickshire,England,761.70514803091,161.70514803091,760,,15,2,,1.7,439,,160,,5,3.2,,220,,65,41.9,,458,302,
North West Cambridgeshire,North West Cambridgeshire,England,831.21828465676,196.21828465676,830,,0,0,,1.2,538,,195,,15,8.3,,165,,0,0.0,,537,291,
North West Durham,North West Durham,England,"1,282.87420291026",322.87420291026,"1,280",,60,5,,2.9,234,,320,,30,10.3,,325,,25,8.3,,836,444,
North West Hampshire,North West Hampshire,England,415.77850733001,70.77850733001,415,,-25,-6,,0.8,625,,70,,0,0.0,,150,,5,3.4,,280,137,
North West Leicestershire,North West Leicestershire,England,506.04302417672,111.04302417672,505,,-130,-20,,1.0,581,,110,,-50,-31.3,,115,,-15,-11.5,,293,211,
North West Norfolk,North West Norfolk,England,636.44854545772,181.44854545772,635,,-55,-8,,1.4,496,,180,,35,24.1,,155,,-30,-16.2,,386,248,
North Wiltshire,North Wiltshire,England,430.93133789873,95.93133789873,430,,-10,-2,,0.9,599,,95,,0,0.0,,125,,5,4.2,,247,182,
Northampton North,Northampton North,England,"1,107.51616935798",202.51616935798,"1,105",,-85,-7,,2.5,293,,200,,-35,-14.9,,315,,10,3.3,,789,315,
Northampton South,Northampton South,England,"1,417.70427635871",242.70427635871,"1,415",,-125,-8,,2.7,262,,240,,-40,-14.3,,390,,5,1.3,,"1,009",404,
Norwich North,Norwich North,England,866.93792027501,186.93792027501,865,,0,0,,1.9,386,,185,,-20,-9.8,,225,,30,15.4,,597,267,
Norwich South,Norwich South,England,"1,182.31283986728",257.31283986728,"1,180",,5,0,,2.3,324,,255,,20,8.5,,290,,25,9.4,,756,427,
Nottingham East,Nottingham East,England,"2,930.71761518998",630.71761518998,"2,925",,85,3,,5.7,27,,625,,50,8.7,,585,,65,12.5,,"2,331",592,
Nottingham North,Nottingham North,England,"2,696.07622226158",636.07622226158,"2,690",,20,1,,6.1,20,,630,,-45,-6.7,,495,,45,10.0,,"1,993",697,
Nottingham South,Nottingham South,England,"1,783.58168372241",358.58168372241,"1,780",,0,0,,3.6,142,,355,,-30,-7.8,,380,,35,10.1,,"1,349",434,
Nuneaton,Nuneaton,England,"1,152.53995977374",227.53995977374,"1,150",,35,3,,2.5,289,,225,,20,9.8,,260,,20,8.3,,789,362,
Ochil and South Perthshire,Ochil and South Perthshire,Scotland,"1,192.41754251007",292.41754251007,"1,190",,25,2,,2.4,306,,290,,0,0.0,,315,,45,16.7,,740,452,
Ogmore,Ogmore,Wales,"1,168.29998813174",318.29998813174,"1,165",,45,4,,3.3,182,,315,,15,5.0,,250,,35,16.3,,753,411,
Old Bexley and Sidcup,Old Bexley and Sidcup,England,506.11824068506,126.11824068506,505,,55,12,,1.1,561,,125,,15,13.6,,110,,5,4.8,,318,187,
Oldham East and Saddleworth,Oldham East and Saddleworth,England,"1,908.99966316296",428.99966316296,"1,905",,-25,-1,,4.0,111,,425,,-60,-12.4,,350,,-10,-2.8,,958,945,
Oldham West and Royton,Oldham West and Royton,England,"2,039.38452777451",519.38452777451,"2,035",,-170,-8,,4.4,87,,515,,-115,-18.3,,430,,-10,-2.3,,"1,023","1,010",
Orkney and Shetland,Orkney and Shetland,Scotland,291.23165384620,76.23165384620,290,,30,12,,1.2,536,,75,,5,7.1,,80,,15,23.1,,172,122,
Orpington,Orpington,England,526.19612971679,126.19612971679,525,,60,13,,1.2,549,,125,,35,38.9,,135,,20,17.4,,407,121,
Oxford East,Oxford East,England,936.51887339207,166.51887339207,935,,0,0,,1.5,478,,165,,5,3.1,,245,,25,11.4,,634,300,
Oxford West and Abingdon,Oxford West and Abingdon,England,460.84509761415,65.84509761415,460,,40,10,,0.8,612,,65,,-15,-18.8,,145,,25,20.8,,279,180,
Paisley and Renfrewshire North,Paisley and Renfrewshire North,Scotland,"1,167.64588131496",252.64588131496,"1,165",,-80,-6,,2.6,275,,250,,-5,-2.0,,300,,5,1.7,,692,469,
Paisley and Renfrewshire South,Paisley and Renfrewshire South,Scotland,"1,879.44747239016",364.44747239016,"1,875",,85,5,,4.4,86,,360,,10,2.9,,480,,20,4.3,,"1,164",710,
Pendle,Pendle,England,"1,147.83175319614",247.83175319615,"1,145",,-95,-8,,2.8,241,,245,,-55,-18.3,,245,,-10,-3.9,,596,551,
Penistone and Stocksbridge,Penistone and Stocksbridge,England,796.83446930026,186.83446930026,795,,-60,-7,,1.8,407,,185,,-15,-7.5,,205,,0,0.0,,572,221,
Penrith and The Border,Penrith and The Border,England,426.05948239453,81.05948239453,425,,15,4,,1.1,577,,80,,-5,-5.9,,125,,15,13.6,,222,200,
Perth and North Perthshire,Perth and North Perthshire,Scotland,961.97111070326,236.97111070326,960,,65,7,,2.0,382,,235,,25,11.9,,235,,40,20.5,,653,308,
Peterborough,Peterborough,England,"1,282.17293822962",307.17293822962,"1,280",,-40,-3,,2.2,353,,305,,-10,-3.2,,240,,25,11.6,,841,438,
"Plymouth, Moor View","Plymouth, Moor View",England,"1,152.65645233893",322.65645233893,"1,150",,-25,-2,,2.7,271,,320,,15,4.9,,250,,-20,-7.4,,791,360,
"Plymouth, Sutton and Devonport","Plymouth, Sutton and Devonport",England,"2,379.17178595750",529.17178595750,"2,375",,65,3,,4.2,103,,525,,20,4.0,,545,,75,16.0,,"1,731",639,
Pontypridd,Pontypridd,Wales,897.32044380501,222.32044380501,895,,-85,-9,,2.3,322,,220,,-15,-6.4,,195,,-35,-15.2,,639,254,
Poole,Poole,England,796.64868118150,176.64868118150,795,,30,4,,1.6,446,,175,,-5,-2.8,,230,,30,15.0,,533,265,
Poplar and Limehouse,Poplar and Limehouse,England,"2,362.78385972405",477.78385972406,"2,360",,-230,-9,,2.8,249,,475,,-90,-15.9,,610,,35,6.1,,"1,705",654,
Portsmouth North,Portsmouth North,England,886.72005538390,161.72005538390,885,,-5,-1,,1.7,432,,160,,-15,-8.6,,240,,15,6.7,,627,259,
Portsmouth South,Portsmouth South,England,"1,477.69341162649",247.69341162649,"1,475",,155,12,,2.7,267,,245,,50,25.6,,380,,55,16.9,,"1,106",370,
Preseli Pembrokeshire,Preseli Pembrokeshire,Wales,"1,032.92411881881",272.92411881881,"1,030",,-45,-4,,2.9,228,,270,,0,0.0,,270,,-10,-3.6,,703,328,
Preston,Preston,England,"1,904.19716360852",394.19716360852,"1,900",,90,5,,4.2,101,,390,,-15,-3.7,,410,,70,20.6,,"1,001",901,
Pudsey,Pudsey,England,721.52079792274,156.52079792274,720,,90,14,,1.5,476,,155,,10,6.9,,185,,20,12.1,,473,247,
Putney,Putney,England,936.71572252449,116.71572252449,935,,20,2,,1.7,435,,115,,-15,-11.5,,260,,35,15.6,,652,279,
Rayleigh and Wickford,Rayleigh and Wickford,England,501.01379474493,131.01379474493,500,,10,2,,1.0,585,,130,,0,0.0,,130,,15,13.0,,314,187,
Reading East,Reading East,England,981.64822776172,131.64822776172,980,,110,13,,1.6,447,,130,,5,4.0,,275,,65,31.0,,748,234,
Reading West,Reading West,England,"1,056.92414363863",141.92414363863,"1,055",,180,21,,1.9,390,,140,,15,12.0,,335,,80,31.4,,803,254,
Redcar,Redcar,England,"2,451.19655766963",546.19655766963,"2,445",,-195,-7,,6.2,17,,540,,-5,-0.9,,590,,-45,-7.1,,"1,735",712,
Redditch,Redditch,England,997.19705042002,202.19705042002,995,,-10,-1,,2.2,349,,200,,-40,-16.7,,260,,45,20.9,,631,361,
Reigate,Reigate,England,561.05695978895,101.05695978895,560,,75,15,,1.1,578,,100,,5,5.3,,155,,20,14.8,,373,188,
Rhondda,Rhondda,Wales,"1,434.83186766485",374.83186766485,"1,430",,-145,-9,,4.8,61,,370,,-45,-10.8,,345,,15,4.5,,998,432,
Ribble Valley,Ribble Valley,England,541.10893725069,106.10893725069,540,,-20,-4,,1.1,563,,105,,-30,-22.2,,155,,35,29.2,,264,280,
Richmond (Yorks),Richmond (Yorks),England,851.56062461919,176.56062461919,850,,310,57,,1.6,469,,175,,60,52.2,,250,,100,66.7,,151,700,
Richmond Park,Richmond Park,England,811.26815472009,111.26815472009,810,,70,9,,1.3,531,,110,,5,4.8,,230,,5,2.2,,564,249,
Rochdale,Rochdale,England,"2,380.02345099348",535.02345099349,"2,375",,115,5,,5.0,54,,530,,-60,-10.2,,460,,55,13.6,,"1,381",997,
Rochester and Strood,Rochester and Strood,England,"1,262.22205138847",267.22205138847,"1,260",,-75,-6,,2.2,345,,265,,-5,-1.9,,325,,-10,-3.0,,917,342,
Rochford and Southend East,Rochford and Southend East,England,"1,693.39312088472",403.39312088472,"1,690",,70,4,,3.4,168,,400,,10,2.6,,400,,40,11.1,,"1,151",541,
Romford,Romford,England,"1,041.99056636785",201.99056636785,"1,040",,110,12,,2.0,377,,200,,25,14.3,,250,,55,28.2,,775,263,
Romsey and Southampton North,Romsey and Southampton North,England,375.91782815381,80.91782815381,375,,15,4,,0.9,600,,80,,5,6.7,,105,,0,0.0,,225,150,
"Ross, Skye and Lochaber","Ross, Skye and Lochaber",Scotland,626.86667846039,96.86667846039,625,,0,0,,1.9,401,,95,,-10,-9.5,,215,,30,16.2,,316,310,
