,,,,,,,,,,,,,,,,,,,,,,,,,
column reference number,52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, March 2017",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
"Birmingham, Selly Oak","Birmingham, Selly Oak",England,"2,244.68765629733",514.68765629733,"2,240",,150,7,,4.7,67,,510,,-10,-1.9,,465,,65,16.3,,"1,500",736,
"Birmingham, Yardley","Birmingham, Yardley",England,"2,981.07328156285",646.07328156285,"2,975",,235,9,,6.1,21,,640,,30,4.9,,695,,155,28.7,,"2,049",928,
Bishop Auckland,Bishop Auckland,England,"1,518.74608551636",373.74608551636,"1,515",,125,9,,3.7,132,,370,,15,4.2,,385,,50,14.9,,986,531,
Blackburn,Blackburn,England,"2,029.57912932657",474.57912932657,"2,025",,-115,-5,,4.6,76,,470,,-55,-10.5,,395,,10,2.6,,"1,078",949,
Blackley and Broughton,Blackley and Broughton,England,"2,805.63670819018",510.63670819018,"2,800",,-145,-5,,5.6,29,,505,,-100,-16.5,,565,,35,6.6,,"1,754","1,043",
Blackpool North and Cleveleys,Blackpool North and Cleveleys,England,"1,729.63287118804",339.63287118804,"1,725",,170,11,,4.6,71,,335,,10,3.1,,460,,85,22.7,,771,954,
Blackpool South,Blackpool South,England,"2,461.74603122395",451.74603122395,"2,455",,235,11,,6.7,13,,445,,5,1.1,,615,,105,20.6,,"1,057","1,401",
Blaenau Gwent,Blaenau Gwent,Wales,"1,564.99722290570",459.99722290571,"1,560",,-250,-14,,5.0,56,,455,,-50,-9.9,,325,,-30,-8.5,,"1,013",548,
Blaydon,Blaydon,England,"1,192.78975011351",292.78975011351,"1,190",,70,6,,2.8,248,,290,,25,9.4,,310,,35,12.7,,752,443,
Blyth Valley,Blyth Valley,England,"1,819.56612502010",419.56612502010,"1,815",,25,1,,4.6,78,,415,,-65,-13.5,,470,,75,19.0,,"1,320",496,
Bognor Regis and Littlehampton,Bognor Regis and Littlehampton,England,911.91920617153,176.91920617153,910,,100,12,,1.9,391,,175,,10,6.1,,275,,45,19.6,,617,293,
Bolsover,Bolsover,England,927.02780190280,262.02780190280,925,,20,2,,2.0,369,,260,,20,8.3,,190,,5,2.7,,615,311,
Bolton North East,Bolton North East,England,"2,285.19172523334",475.19172523334,"2,280",,115,5,,5.2,43,,470,,-20,-4.1,,495,,75,17.9,,"1,225","1,055",
Bolton South East,Bolton South East,England,"2,445.31539560634",600.31539560634,"2,440",,105,4,,5.3,36,,595,,5,0.8,,465,,40,9.4,,"1,219","1,221",
Bolton West,Bolton West,England,"1,292.73883569459",287.73883569459,"1,290",,65,5,,2.7,257,,285,,-50,-14.9,,305,,60,24.5,,590,696,
Bootle,Bootle,England,"2,695.81534240381",555.81534240381,"2,690",,-180,-6,,5.8,24,,550,,-105,-16.0,,635,,55,9.5,,"1,193","1,496",
Boston and Skegness,Boston and Skegness,England,"1,473.09393883677",363.09393883677,"1,470",,5,0,,3.1,207,,360,,-5,-1.4,,380,,45,13.4,,867,603,
Bosworth,Bosworth,England,681.33043073499,156.33043073499,680,,-15,-2,,1.3,521,,155,,-10,-6.1,,165,,5,3.1,,449,229,
Bournemouth East,Bournemouth East,England,"1,242.23726459258",207.23726459258,"1,240",,90,8,,2.2,341,,205,,-15,-6.8,,355,,65,22.4,,850,393,
Bournemouth West,Bournemouth West,England,"1,122.15156568241",197.15156568241,"1,120",,110,11,,2.2,357,,195,,-10,-4.9,,315,,75,31.3,,763,357,
Bracknell,Bracknell,England,626.04847463858,126.04847463858,625,,5,1,,1.0,580,,125,,30,31.6,,170,,0,0.0,,398,232,
Bradford East,Bradford East,England,"2,540.05990300258",595.05990300258,"2,535",,-95,-4,,5.1,49,,590,,20,3.5,,575,,30,5.5,,"1,872",665,
Bradford South,Bradford South,England,"1,918.92601076354",428.92601076354,"1,915",,0,0,,3.9,119,,425,,0,0.0,,415,,35,9.2,,"1,390",526,
Bradford West,Bradford West,England,"2,820.95525455515",635.95525455515,"2,815",,35,1,,6.0,22,,630,,0,0.0,,550,,40,7.8,,"1,995",823,
Braintree,Braintree,England,611.20204185100,126.20204185100,610,,-75,-11,,1.2,545,,125,,-50,-28.6,,185,,25,15.6,,463,145,
Brecon and Radnorshire,Brecon and Radnorshire,Wales,421.33990378411,101.33990378411,420,,0,0,,1.3,518,,100,,-15,-13.0,,125,,5,4.2,,254,164,
Brent Central,Brent Central,England,"3,029.13518652133",414.13518652133,"3,025",,-160,-5,,4.1,105,,410,,-20,-4.7,,915,,25,2.8,,"2,251",778,
Brent North,Brent North,England,"1,256.85860699487",226.85860699488,"1,255",,-80,-6,,1.9,403,,225,,-5,-2.2,,350,,-10,-2.8,,809,446,
Brentford and Isleworth,Brentford and Isleworth,England,"2,117.86659930779",297.86659930779,"2,115",,760,56,,2.9,236,,295,,85,40.5,,595,,270,83.1,,328,"1,785",
Brentwood and Ongar,Brentwood and Ongar,England,576.21781040744,141.21781040744,575,,150,35,,1.2,539,,140,,55,64.7,,145,,25,20.8,,387,191,
Bridgend,Bridgend,Wales,"1,042.70277057318",257.70277057318,"1,040",,75,8,,2.7,264,,255,,0,0.0,,240,,15,6.7,,694,347,
Bridgwater and West Somerset,Bridgwater and West Somerset,England,"1,628.13550333893",363.13550333893,"1,625",,590,57,,3.1,200,,360,,85,30.9,,395,,160,68.1,,210,"1,413",
Brigg and Goole,Brigg and Goole,England,992.29709669642,247.29709669642,990,,-70,-7,,2.3,328,,245,,-10,-3.9,,255,,-25,-8.9,,661,331,
"Brighton, Kemptown","Brighton, Kemptown",England,"1,167.53018407133",262.53018407133,"1,165",,105,10,,2.5,290,,260,,15,6.1,,295,,45,18.0,,807,361,
"Brighton, Pavilion","Brighton, Pavilion",England,"1,031.65173903211",201.65173903211,"1,030",,35,4,,1.7,445,,200,,0,0.0,,235,,30,14.6,,695,332,
Bristol East,Bristol East,England,"1,262.41557246845",222.41557246845,"1,260",,75,6,,2.4,309,,220,,-10,-4.3,,305,,55,22.0,,930,334,
Bristol North West,Bristol North West,England,"1,067.11829213083",227.11829213084,"1,065",,20,2,,2.1,361,,225,,25,12.5,,265,,40,17.8,,751,316,
Bristol South,Bristol South,England,"1,377.36237395830",297.36237395830,"1,375",,95,7,,2.4,317,,295,,-25,-7.8,,315,,60,23.5,,946,429,
Bristol West,Bristol West,England,"1,847.49085155168",272.49085155168,"1,845",,60,3,,2.5,297,,270,,5,1.9,,420,,45,12.0,,"1,356",488,
Broadland,Broadland,England,455.98797543271,115.98797543271,455,,50,12,,1.0,588,,115,,5,4.5,,130,,20,18.2,,256,196,
Bromley and Chislehurst,Bromley and Chislehurst,England,746.58320547589,161.58320547589,745,,70,10,,1.6,465,,160,,25,18.5,,215,,40,22.9,,566,175,
Bromsgrove,Bromsgrove,England,641.39736297720,166.39736297720,640,,35,6,,1.4,510,,165,,10,6.5,,170,,10,6.3,,416,222,
Broxbourne,Broxbourne,England,786.53621709501,146.53621709501,785,,15,2,,1.5,472,,145,,0,0.0,,205,,25,13.9,,569,218,
Broxtowe,Broxtowe,England,901.86563144537,236.86563144537,900,,90,11,,1.9,402,,235,,35,17.5,,200,,20,11.1,,581,319,
Buckingham,Buckingham,England,370.72482280663,50.72482280663,370,,85,30,,0.7,635,,50,,15,42.9,,120,,25,26.3,,269,99,
Burnley,Burnley,England,"1,779.49808345796",404.49808345796,"1,775",,140,9,,4.5,82,,400,,10,2.6,,415,,60,16.9,,834,943,
