date,geography,geography code,All categories,Agriculture,Mining and quarrying,Manufacturing,Manufacturing: Food,Manufacturing: Textiles,Manufacturing: Wood,Manufacturing: Chemicals,Manufacturing: Low tech,Manufacturing: High tech,Manufacturing: Other,Electricity and Gas,Water supply and Sewerage,Construction,Wholesale and retail trade,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,Professional and scientific activities,Administrative and support service activities,Public administration and defence,Education,Human health and social work,Arts and Entertainment,Activities of households as employers,Activities of extraterritorial organisations and bodies
2011,Copeland,E14000647,38070,920,118,6957,234,117,186,230,5482,278,430,1339,1074,3422,4461,1089,3177,509,339,355,1748,1538,2019,2915,4547,1531,10,2
2011,Crewe and Nantwich,E14000653,51654,509,83,7389,1524,182,157,605,676,2893,1352,289,307,2798,9586,3886,2839,1584,1586,549,2250,2514,1906,4690,6724,2123,32,10
2011,Denton and Reddish,E14000661,41622,20,17,4753,731,267,186,674,781,1022,1092,337,325,3696,7492,2503,1760,1119,1874,702,2084,2178,2317,3539,5043,1846,17,0
2011,Eddisbury,E14000686,41088,1590,154,4964,810,119,176,1189,544,1204,922,149,301,2825,6818,1768,2131,1272,1692,664,2907,1964,1809,3868,4370,1792,39,11
2011,Ellesmere Port and Neston,E14000688,41719,197,115,5643,463,93,257,1323,884,1812,811,229,497,2933,7671,1729,2326,975,1668,455,2454,1957,2132,3585,5413,1717,15,8
2011,Fylde,E14000706,37866,359,26,4774,505,102,49,346,573,2547,652,136,168,2421,5073,1166,2691,1403,1598,572,2210,1420,3709,3589,4790,1743,15,3
2011,Garston and Halewood,E14000708,42394,44,34,3627,346,84,77,711,333,1355,721,150,256,2915,6972,2730,2263,1084,1417,738,2029,2010,2989,4778,6466,1877,10,5
2011,Halton,E14000725,43521,57,79,5360,456,75,127,1621,817,1195,1069,363,766,3371,8228,2959,2011,1539,1041,533,1915,2269,2844,3383,5112,1683,7,1
2011,Hazel Grove,E14000738,37622,78,24,3798,391,187,160,498,574,1018,970,343,182,3054,5970,1756,1521,1335,1784,509,2707,1787,2066,3813,5152,1720,16,7
2011,Heywood and Middleton,E14000747,47515,76,26,5134,438,510,184,970,908,992,1132,169,434,4279,8770,2897,2041,1167,1657,721,2233,2390,2519,4578,6439,1960,19,6
2011,Hyndburn,E14000758,41402,124,27,6897,742,499,318,914,878,1595,1951,143,296,3352,7498,2016,1959,813,788,443,1526,1690,2247,4116,5797,1659,10,1
2011,Knowsley,E14000775,42765,56,36,4075,589,114,169,502,664,1177,860,166,380,3961,6994,2885,2020,857,1641,638,1506,2330,2921,3450,6759,2073,12,5
2011,Lancaster and Fleetwood,E14000776,38229,857,118,2664,563,154,81,353,441,547,525,390,319,2669,5702,1459,3024,843,744,321,1591,1300,2697,5950,5822,1723,29,7
2011,Leigh,E14000785,49442,88,42,5191,905,246,285,797,907,1015,1036,311,502,5136,8877,2697,2271,1252,1522,613,2459,2859,2972,3941,6558,2124,24,3
2011,"Liverpool, Riverside",E14000793,48118,45,37,2250,365,88,60,418,226,552,541,122,197,1942,7016,1923,5182,1865,1556,807,3321,2206,2917,6208,7329,3139,30,26
2011,"Liverpool, Walton",E14000794,37328,25,19,2637,654,100,88,265,374,603,553,108,313,3031,6007,2435,2344,723,1498,480,1244,2326,3024,2765,6376,1954,15,4
2011,"Liverpool, Wavertree",E14000795,39965,35,17,2162,363,83,36,322,267,604,487,113,245,2429,5830,1955,3082,1151,1519,695,2036,1909,2771,5011,6956,2017,19,13
2011,"Liverpool, West Derby",E14000796,38224,33,24,2648,520,70,74,292,369,736,587,129,246,3159,5752,2475,2193,869,1512,646,1395,1997,2807,3544,7009,1775,11,0
2011,Macclesfield,E14000802,46821,463,53,5587,308,295,302,2233,541,940,968,116,335,2980,6987,1752,2199,2013,1992,778,4709,2324,1660,4284,6371,2162,46,10
2011,Makerfield,E14000805,47264,60,46,5762,1418,317,324,641,1019,1097,946,256,543,4980,8402,2775,1968,1098,1315,571,1799,2232,3176,4223,5783,2257,13,5
2011,Manchester Central,E14000807,55731,43,14,2688,616,250,81,355,314,485,587,220,245,2185,9307,2369,5838,2466,2825,864,4938,3997,2177,5787,6716,3001,17,34
2011,"Manchester, Gorton",E14000808,42492,36,13,2161,546,381,57,191,214,329,443,174,177,1821,7218,2393,4724,1482,1510,610,2466,2814,1683,5056,5693,2419,22,20
2011,"Manchester, Withington",E14000809,50534,32,16,2238,420,192,49,392,210,423,552,212,185,1963,6154,1648,3566,2777,2225,913,5432,2444,2101,7765,8179,2643,24,17
2011,Morecambe and Lunesdale,E14000825,39776,449,135,2612,280,181,239,239,473,571,629,1326,424,3208,6487,2286,2642,820,865,368,1447,1802,2059,4502,6343,1981,14,6
2011,Oldham East and Saddleworth,E14000870,44698,76,12,5158,605,497,201,593,938,1117,1207,185,376,3923,8153,2441,2198,1036,1331,663,2218,2006,2432,4597,6018,1846,23,6
2011,Oldham West and Royton,E14000871,41736,43,13,4795,671,360,139,623,753,1148,1101,198,280,3125,8248,2568,3027,900,1327,593,1595,2090,2091,3732,5557,1533,17,4
2011,Pendle,E14000875,39324,260,18,8277,969,706,149,758,1112,2195,2388,56,214,2842,6885,1684,1879,763,990,500,1490,1732,1749,3599,4902,1461,19,4
2011,Penrith and The Border,E14000877,42365,3313,157,3303,809,116,279,567,667,249,616,137,324,4103,6830,2268,3954,655,633,549,2059,1503,2376,3798,4522,1837,34,10
2011,Preston,E14000885,40918,136,16,4523,809,363,123,460,438,1509,821,132,343,2553,8354,2217,3136,1136,867,462,1429,2422,2837,3276,5415,1651,9,4
2011,Ribble Valley,E14000894,49668,987,45,6623,840,350,165,958,1058,2114,1138,181,399,4007,7926,1743,2606,1225,1172,715,2733,1704,3517,5399,6597,2055,22,12
2011,Rochdale,E14000897,43238,43,15,5200,468,939,193,797,930,907,966,132,331,3351,7943,2633,2372,995,1173,664,1648,1995,2379,4133,6551,1659,16,5
2011,Rossendale and Darwen,E14000902,47173,170,33,7147,537,711,512,1271,1005,1322,1789,153,381,3958,7425,1888,1841,1249,1143,685,2265,1982,2862,4995,6987,1978,27,4
